Module positions 0 created on Fri 2 Aug 2013 10:19:29 BST ###
Printed by Pcbnew version pcbnew (2013-mar-13)-testing      
Unit = mm, Angle = deg.      
Side : Front         
Ref Val Package PosX PosY Rot Side     
D2 E SM0603 87.7494 -135.6004 180 Front     
D3 N SM0603 86.5505 -133.4999 270 Front     
D4 S SM0603 73.4009 -149.4993 90 Front     
D5 W SM0603 71.0006 -147.5511 0 Front     
D6 E SM0603 88.0008 -107.1982 180 Front     
D7 N SM0603 86.5988 -104.8995 270 Front     
D8 S SM0603 73.6498 -121.1504 90 Front     
D9 W SM0603 70.899 -118.4986 0 Front     
D10 E SM0603 115.6995 -135.1509 180 Front     
D11 N SM0603 114.5261 -133.1011 270 Front     
D12 S SM0603 101.8489 -149.799 90 Front     
D13 W SM0603 98.9 -146.5986 0 Front     
D14 E SM0603 115.6995 -107.2007 180 Front     
D15 N SM0603 114.3991 -104.8004 270 Front     
D16 S SM0603 100.5992 -120.8989 90 Front     
D17 W SM0603 98.9 -118.8999 0 Front     
D18 E SM0603 88.1507 -78.8492 180 Front     
D19 N SM0603 86.299 -76.2483 270 Front     
D20 S SM0603 74.3509 -92.9488 90 Front     
D21 W SM0603 70.6501 -90.0481 0 Front     
D22 E SM0603 87.8992 -50.353 180 Front     
D23 N SM0603 85.151 -47.2034 270 Front     
D24 S SM0603 73.8988 -64.4525 90 Front     
D25 W SM0603 70.7009 -61.4528 0 Front     
D26 E SM0603 115.6487 -50.0507 180 Front     
D27 N SM0603 113.251 -47.752 270 Front     
D28 S SM0603 101.8007 -64.4525 90 Front     
D29 W SM0603 98.8009 -61.2521 0 Front     
D30 E SM0603 115.951 -78.6994 180 Front     
D31 N SM0603 113.7488 -76.1975 270 Front     
D32 S SM0603 102.3493 -92.649 90 Front     
D33 W SM0603 98.6003 -89.7484 0 Front     
D34 5V_OK SM0603 132.3746 -109.126 0 Front     
D35 3V3_OK SM0603 132.3492 -106.6749 0 Front     
D36 Z SM0603 103.1011 -129.0244 180 Front     
D37 Z SM0603 75.5244 -129.3749 180 Front     
D38 Z SM0603 92.649 -112.776 270 Front     
D39 Z SM0603 104.4753 -99.0244 180 Front     
D40 Z SM0603 75.5752 -72.1258 180 Front     
D41 Z SM0603 93.2739 -54.1757 270 Front     
D42 Z SM0603 104.0994 -42.4256 180 Front     
D43 Z SM0603 103.9012 -71.0489 90 Front     
L1 2u2H LQH55P 138.049 -146.1008 270 Front     
L2 2u2H NCLV 136.3497 -97.089 0 Front     
L3 2u2H NCLV 52.324 -108.0999 180 Front     
L4 2u2H NCLV 48.4302 -152.2501 180 Front     
L5 2u2H NCLV 57.2795 -45.4812 180 Front     
L6 2u2H NCLV 52.2402 -94.7496 180 Front     
P2 CONN_30 FFC5-xR-L-Tx 38.9484 -56.7004 270 Front     
P3 CONN_30 FFC5-xR-L-Tx 38.9509 -78.6994 270 Front     
P4 CONN_30 FFC5-xR-L-Tx 38.9509 -122.4001 270 Front     
P6 CONN_30 FFC5-xR-L-Tx 78.6968 -25.8978 180 Front     
P7 CONN_30 FFC5-xR-L-Tx 81.4502 -165.5496 0 Front     
P8 CONN_30 FFC5-xR-L-Tx 106.4539 -25.7505 180 Front     
P9 CONN_30 FFC5-xR-L-Tx 106.4006 -165.4505 0 Front     
P10 CONN_30 FFC5-xR-L-Tx 142.5448 -56.6979 90 Front     
P11 CONN_30 FFC5-xR-L-Tx 142.5499 -78.6994 90 Front     
P12 CONN_30 FFC5-xR-L-Tx 142.6007 -122.4001 90 Front     
R1 16.2k SM0603_Resistor 134.8003 -157.7492 270 Front     
R2 11.5k SM0603_Resistor 136.9187 -155.0772 0 Front     
R3 33R SM0603 56.2991 -72.4256 0 Front     
R4 33R SM0603 56.2991 -70.6501 180 Front     
R5 3k SM0603_Resistor 71.5493 -100.5992 270 Front     
R6 100k SM0603_Resistor 132.1181 -155.3769 180 Front     
R7 536k SM0603_Resistor 132.969 -157.5257 90 Front     
R8 10k SM0603_Resistor 62.9006 -61.3512 90 Front     
R9 33R SM0603 62.9006 -73.1495 0 Front     
R10 33R SM0603 67.7494 -75.6996 180 Front     
R11 33R SM0603 96.3498 -68.5013 180 Front     
R12 33R SM0603 96.901 -70.3504 180 Front     
R13 33R SM0603 91.3994 -124.6505 0 Front     
R14 33R SM0603 98.0999 -127 180 Front     
R15 33R SM0603 62.9996 -130.2512 0 Front     
R16 33R SM0603 68.9 -132.7988 180 Front     
R17 10k SM0603_Resistor 139.9997 -41.9506 0 Front     
R18 453k SM0603_Resistor 128.0262 -101.2266 0 Front     
R19 100k SM0603_Resistor 130.3757 -102.075 270 Front     
R20 10k SM0603_Resistor 139.9997 -43.7998 0 Front     
R21 10k SM0603_Resistor 127.8509 -43.6499 180 Front     
